ymin,xmin,crop_type,burn_area
12.0,102.5999999999997,Forest,0.0
12.0,102.59999999999972,Ag,0.0
12.0,102.69999999999968,Forest,0.0
12.0,102.69999999999972,Ag,0.0
12.0,102.79999999999968,Forest,0.0
12.0,102.79999999999971,Ag,0.0
12.0,102.89999999999968,Forest,0.0
12.0,102.89999999999972,Ag,0.0
12.0,102.99999999999967,Forest,0.0
12.0,102.9999999999997,Ag,0.0
12.0,103.09999999999968,Forest,0.0
12.0,103.0999999999997,Ag,0.0
12.0,103.19999999999966,Forest,0.0
12.0,103.19999999999968,Ag,0.0
12.0,103.29999999999966,Forest,0.0
12.0,103.29999999999968,Ag,0.0
12.0,103.39999999999964,Forest,0.0
12.0,103.39999999999968,Ag,0.0
12.0,103.49999999999964,Forest,0.0
12.0,103.49999999999967,Ag,0.0
12.0,103.59999999999964,Forest,0.0
12.0,103.59999999999968,Ag,0.0
12.0,103.69999999999963,Forest,0.0
12.0,103.69999999999966,Ag,0.0
12.0,103.79999999999964,Forest,0.0
12.0,103.79999999999966,Ag,0.0
12.0,103.89999999999962,Forest,0.0
12.0,103.89999999999964,Ag,0.0
12.0,103.99999999999962,Forest,0.0
12.0,103.99999999999964,Ag,0.0
12.0,104.0999999999996,Forest,0.0
12.0,104.09999999999964,Ag,0.0
12.0,104.1999999999996,Forest,0.0
12.0,104.19999999999963,Ag,0.0
12.0,104.2999999999996,Forest,0.0
12.0,104.29999999999964,Ag,0.0
12.0,104.3999999999996,Forest,0.0
12.0,104.39999999999962,Ag,0.0
12.0,104.4999999999996,Forest,0.0
12.0,104.49999999999962,Ag,0.0
12.0,104.59999999999958,Forest,0.0
12.0,104.5999999999996,Ag,0.0
12.0,104.69999999999958,Forest,0.0
12.0,104.6999999999996,Ag,0.0
12.0,104.79999999999956,Forest,0.0
12.0,104.7999999999996,Ag,0.0
12.0,104.89999999999957,Forest,0.0
12.0,104.8999999999996,Ag,0.0
12.0,104.99999999999956,Forest,0.0
12.0,104.9999999999996,Ag,0.0
12.0,105.09999999999955,Forest,0.0
12.0,105.09999999999958,Ag,0.0
12.0,105.19999999999956,Forest,0.0
12.0,105.19999999999958,Ag,0.0
12.0,105.29999999999954,Forest,0.0
12.0,105.29999999999956,Ag,0.0
12.0,105.39999999999954,Forest,0.0
12.0,105.39999999999957,Ag,0.0
12.0,105.49999999999952,Forest,0.0
12.0,105.49999999999956,Ag,0.0
12.1,97.3,Forest,0.0
12.1,97.4,Forest,0.0
12.1,97.5,Forest,0.0
12.1,97.59999999999998,Forest,0.0
12.1,97.69999999999996,Forest,0.0
12.1,97.7,Ag,0.0
12.1,97.79999999999995,Forest,0.0
12.1,97.8,Ag,0.0
12.1,97.89999999999996,Forest,0.0
12.1,97.9,Ag,0.0
12.1,97.99999999999996,Forest,0.0
12.1,98.0,Ag,0.0
12.1,98.09999999999997,Forest,0.0
12.1,98.09999999999998,Ag,0.0
12.1,98.19999999999996,Ag,0.0
12.1,98.29999999999994,Forest,0.0
12.1,98.29999999999995,Ag,0.0
12.1,98.39999999999992,Forest,0.0
12.1,98.39999999999996,Ag,0.0
12.1,98.49999999999991,Forest,0.0
12.1,98.49999999999996,Ag,0.0
12.1,98.59999999999992,Forest,0.0
12.1,98.59999999999997,Ag,0.0
12.1,98.69999999999992,Forest,0.0
12.1,98.69999999999996,Ag,0.0
12.1,98.79999999999993,Forest,0.0
12.1,98.79999999999994,Ag,0.0
12.1,98.8999999999999,Forest,0.0
12.1,98.89999999999992,Ag,0.0
12.1,98.9999999999999,Forest,0.0
12.1,98.99999999999991,Ag,0.0
12.1,99.0999999999999,Forest,0.0
12.1,99.09999999999992,Ag,0.0
12.1,99.19999999999987,Forest,0.0
12.1,99.19999999999992,Ag,0.0
12.1,99.29999999999988,Forest,0.0
12.1,99.29999999999993,Ag,0.0
12.1,99.39999999999988,Forest,0.0
12.1,99.3999999999999,Ag,0.0
12.1,99.49999999999989,Forest,0.0
12.1,99.4999999999999,Ag,0.0
12.1,99.59999999999988,Forest,0.0
12.1,99.5999999999999,Ag,0.0090160502228053
12.1,99.69999999999986,Forest,0.0
12.1,99.69999999999987,Ag,0.0
12.1,99.79999999999986,Forest,0.0
12.1,99.79999999999988,Ag,0.0
12.1,99.89999999999984,Forest,0.0
12.1,99.89999999999988,Ag,0.0
12.1,99.99999999999984,Forest,0.0
12.1,99.99999999999989,Ag,0.0
12.1,100.09999999999984,Forest,0.0
12.1,100.09999999999988,Ag,0.0
12.1,100.19999999999985,Forest,0.0
12.1,100.19999999999986,Ag,0.0
12.1,100.29999999999984,Forest,0.0
12.1,100.29999999999986,Ag,0.0
12.1,100.39999999999982,Forest,0.0
12.1,100.39999999999984,Ag,0.0
12.1,100.49999999999982,Forest,0.0
12.1,100.49999999999984,Ag,0.0
12.1,100.5999999999998,Forest,0.0
12.1,100.59999999999984,Ag,0.0
12.1,100.6999999999998,Forest,0.0
12.1,100.69999999999985,Ag,0.0
12.1,100.7999999999998,Forest,0.0
12.1,100.79999999999984,Ag,0.0
12.1,100.8999999999998,Forest,0.0
12.1,100.89999999999982,Ag,0.0
12.1,100.9999999999998,Forest,0.0
12.1,100.99999999999982,Ag,0.0
12.1,101.09999999999978,Forest,0.0
12.1,101.0999999999998,Ag,0.0
12.1,101.19999999999978,Forest,0.0
12.1,101.1999999999998,Ag,0.0
12.1,101.29999999999976,Forest,0.0
12.1,101.2999999999998,Ag,0.0
12.1,101.39999999999976,Forest,0.0
12.1,101.3999999999998,Ag,0.0
12.1,101.49999999999976,Forest,0.0
12.1,101.4999999999998,Ag,0.0
12.1,101.59999999999977,Forest,0.0
12.1,101.59999999999978,Ag,0.0
12.1,101.69999999999976,Forest,0.0
12.1,101.69999999999978,Ag,0.0
12.1,101.79999999999974,Forest,0.0
12.1,101.79999999999976,Ag,0.0
12.1,101.89999999999974,Forest,0.0
12.1,101.89999999999976,Ag,0.0
12.1,101.99999999999972,Forest,0.0
12.1,101.99999999999976,Ag,0.0
12.1,102.09999999999972,Forest,0.0
12.1,102.09999999999977,Ag,0.0
12.1,102.19999999999972,Forest,0.0
12.1,102.19999999999976,Ag,0.0
12.1,102.29999999999971,Forest,0.0
12.1,102.29999999999974,Ag,0.0
12.1,102.39999999999972,Forest,0.0
12.1,102.39999999999974,Ag,0.0
12.1,102.4999999999997,Forest,0.0
12.1,102.49999999999972,Ag,0.0
12.1,102.5999999999997,Forest,0.0
12.1,102.59999999999972,Ag,0.0
12.1,102.69999999999968,Forest,0.0
12.1,102.69999999999972,Ag,0.0
12.1,102.79999999999968,Forest,0.0
12.1,102.79999999999971,Ag,0.0
12.1,102.89999999999968,Forest,0.0
12.1,102.89999999999972,Ag,0.0
12.1,102.99999999999967,Forest,0.0
12.1,102.9999999999997,Ag,0.0
12.1,103.09999999999968,Forest,0.0
12.1,103.0999999999997,Ag,0.0
12.1,103.19999999999966,Forest,0.0
12.1,103.19999999999968,Ag,0.0
12.1,103.29999999999966,Forest,0.0
12.1,103.29999999999968,Ag,0.0
12.1,103.39999999999964,Forest,0.0
12.1,103.39999999999968,Ag,0.0
12.1,103.49999999999964,Forest,0.0
12.1,103.49999999999967,Ag,0.0
12.1,103.59999999999964,Forest,0.0
12.1,103.59999999999968,Ag,0.0
12.1,103.69999999999963,Forest,0.0
12.1,103.69999999999966,Ag,0.0
12.1,103.79999999999964,Forest,0.0
12.1,103.79999999999966,Ag,0.0
12.1,103.89999999999962,Forest,0.0
12.1,103.89999999999964,Ag,0.0
12.1,103.99999999999962,Forest,0.0
12.1,103.99999999999964,Ag,0.0
12.1,104.0999999999996,Forest,0.0
12.1,104.09999999999964,Ag,0.0
12.1,104.1999999999996,Forest,0.0
12.1,104.19999999999963,Ag,0.0
12.1,104.2999999999996,Forest,0.0
12.1,104.29999999999964,Ag,0.0
12.1,104.3999999999996,Forest,0.0
12.1,104.39999999999962,Ag,0.0
12.1,104.4999999999996,Forest,0.0
12.1,104.49999999999962,Ag,0.0
12.1,104.59999999999958,Forest,0.0
12.1,104.5999999999996,Ag,0.0
12.1,104.69999999999958,Forest,0.0
12.1,104.6999999999996,Ag,0.0
12.1,104.79999999999956,Forest,0.0
12.1,104.7999999999996,Ag,0.0
12.1,104.89999999999957,Forest,0.0
12.1,104.8999999999996,Ag,0.0
12.1,104.99999999999956,Forest,0.0
12.1,104.9999999999996,Ag,0.0
12.1,105.09999999999955,Forest,0.0
